CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
37.31,.07,687.28,68.99,"Sandwich>Shelf Stable>Bacon Cheddar",0,2.24,14.52,.5,.12,.12,327.36,4.95,88,.25,.07,18.74,.18,20,.29,82.37,.01,1.86,FSR2008,129.36,23.23,.29,177.76,0,.12,5.27,.22,MENU 1,.33,12.14,2.13,.07,.88,0,1.37,Entree
25.27,.05,571.9,47.95,"Sandwich>Shelf Stable>Pepperoni",0,1.42,14.63,.49,.11,.08,265.3,4.84,70,.24,.05,16.66,.25,20,.19,48.93,.01,1.18,FSR2008,91,17.08,.24,135.1,.03,.08,3.12,.23,MENU 1,.21,9.66,1.32,.07,.7,128.3,1.13,Entree
4.91,.01,564.2,13.7,"Beef Snacks>Barbecue",0,1.16,2.78,.33,.05,.02,76.7,1.17,26,.06,.03,6.37,1.53,20,.03,5.36,0,.72,FSR2008,73.06,12.4,.24,173.94,.03,.06,1.38,.04,MENU 1,.15,8.61,.13,.07,.26,131.2,1.29,Snack
18.42,.04,5.6,43.12,"Nut and Fruit Mix>Sunflower Kernels and Infused Fruit",0,1.07,21.17,3.65,.31,.06,314.72,3.18,56,.16,.42,4.65,.07,0,.08,47.66,.01,10.58,FSR2008,190.96,91.84,0,339.92,0,.06,5.88,.33,MENU 1,.09,12.6,.03,0,.56,0,1.57,Snack
5.51,.02,608.4,15.21,"Beef Snacks>Teriyaki",0,1.23,2.94,.26,.06,.02,78.26,1.33,26,.07,.02,6.94,1.54,20,.03,5.82,0,.54,FSR2008,72.28,12.58,.25,167.44,.01,.07,1.37,.05,MENU 1,.15,7.8,.13,.07,.26,26.9,1.31,Snack
52.27,.06,305.91,60.89,"Filled Bakery>Filled French Toast",0,2.53,10.1,.62,.06,.17,322.74,3.55,99,.18,.08,16.14,.12,0,.27,67.72,.02,2,FSR2008,58.91,16.04,.13,76.13,0,.14,2.83,.16,MENU 1,.28,6.83,1.83,0,.99,0,.7,Snack
16.12,.08,37.08,77.6,"Dessert Bar>Peanut Butter",0,.22,17.16,1.62,.05,.05,231.6,6.08,40,.3,.34,3.08,.22,20.24,.02,13.16,.01,8.52,FSR2008,138.8,31.76,.02,242.8,.04,.01,2.59,.26,MENU 1,.16,6.76,1.47,.07,.4,185.9,.75,Snack
24.94,.02,26.2,21,"First Strike Bar>Mini>Mocha",0,.75,5.06,7.17,.45,.08,150.15,1.99,35,.1,.07,1.17,.83,5.34,.25,103.95,.14,1.67,FSR2008,36.75,15.26,.01,81.03,0,.04,4.01,.08,MENU 1,.41,1.72,.81,.02,8.12,9.15,1.72,Snack
24.26,.02,18.1,21.39,"First Strike Bar>Mini>Chocolate",0,1.7,5.08,8.56,.31,.08,149.8,1.66,35,.08,.05,1.05,1.02,2.67,.27,135.8,.22,1.26,FSR2008,13.39,21.56,.01,111.3,.01,.09,2.98,.08,MENU 1,.32,2.03,1.01,.01,13.16,43.9,1.83,Snack
32.43,.17,369.36,172.71,"Snack Bread>Wheat",0,1.98,6.21,.26,.05,.11,201.78,1.53,57,.08,.07,19.67,.07,0,.25,58.14,.01,1.82,FSR2008,148.2,18.87,.15,80.94,0,.11,2.6,.1,MENU 1,.2,4.73,1.57,0,.57,0,.43,Bread/Crax
