CARBOHYDRATES_G,CALCIUM_DV,SODIUM_MG,CALCIUM_MG,ITEM,SUGARS_G,VITAMINK_MCG,IRON_MG,TOTALFAT_G,VITAMINE_MG,VITAMINB6_MG,CARBOHYDRATES_DV,CALORIES,SATURATEDFAT_G,WEIGHT,SATURATEDFAT_DV,DIETARYFIBER_DV,SELENIUM_MCG,IODINE_MCG,VITAMINB12_MCG,CHOLESTEROL_MG,THIAMIN_MG,FOLICACID_MCG,VITAMINC_DV,DIETARYFIBER_G,RATION,PHOSPHOROUS_MG,MAGNESIUM_MG,SODIUM_DV,POTASSIUM_MG,VITAMINA_DV,IRON_DV,NIACIN_MG,TOTALFAT_DV,MENU,RIBOFLAVIN_MG,PROTEIN_G,TRANSFAT_G,CHOLESTEROL_DV,VITAMINC_MG,VITAMINA_IU,ZINC_MG,ITEMTYPE
29.59,.08,812.66,78.32,Chili with Beans,0,3.61,3.95,11.05,1.34,.31,.1,303.42,4.45,227,.22,.28,16.87,10.76,1.76,32.6,.08,45.25,.04,6.89,MRE32,133.8,60.53,.34,769.53,.26,.22,3.63,.17,MENU 1,.36,20.96,.75,.11,2.27,1285.13,3.7,Entree
26.54,.03,104.92,27.95,"Ranger Bar>Banana Nut",0,.12,.82,10.75,2.17,.06,.09,214.14,2.61,43,.13,.04,4.3,.04,.02,7.83,.11,22.79,0,.9,MRE32,72.24,16.34,.04,67.08,0,.05,1.13,.17,MENU 1,.09,2.84,1.7,.03,.19,0,.37,"MRE 32>Ranger Bar"
27.78,.03,95.46,29.2,"Ranger Bar>Caramel Apple",0,.2,1.61,9.03,.92,.1,.09,197.37,2.58,43,.13,.04,2.84,1.3,.27,10.5,.14,61.42,.01,.99,MRE32,44.82,11.35,.04,61.06,.01,.09,1.26,.14,MENU 1,.16,2.11,2.38,.04,.43,60.2,.29,"MRE 32>Ranger Bar"
27.05,.03,73.53,34.79,"Ranger Bar>Chocolate Covered Chocolate Chip",0,.2,1.97,10.75,.43,.05,.09,210.27,5.07,43,.25,.06,6.67,1.3,.13,10.5,.09,15.27,.01,1.41,MRE32,81.7,25.93,.03,115.24,0,.11,.82,.17,MENU 1,.09,2.64,1.58,.04,.43,0,.46,"MRE 32>Ranger Bar"
29.03,.03,89.01,33.15,"Ranger Bar>Cran-apple",0,,.87,7.61,.56,.02,.1,190.49,1.66,43,.08,.05,8.94,,.16,10,.1,14.58,.3,1.31,MRE32,70.09,13.72,.04,61.06,0,.05,1.05,.12,MENU 1,.09,2.27,1.98,.03,17.72,0,.27,"MRE 32>Ranger Bar"
27.6,.03,90.73,31.27,"Group Average - MRE 32>Ranger Bar",0,.16,1.32,9.54,1.02,.06,.09,203.07,2.98,43,.15,.05,5.69,.67,.14,9.58,.11,28.51,.08,1.15,MRE32,67.21,16.83,.04,76.11,0,.07,1.07,.15,MENU 1,.11,2.46,1.91,.03,4.69,15.05,.35,"MRE 32>Ranger Bar"
27.54,.22,169.99,222.94,"Crackers>Plain",0,,2.12,5.74,.53,.36,.09,174.68,1.23,38.6,.06,.1,2.33,,.05,0,.37,62.32,.02,2.59,MRE32,44.15,10.47,.07,61.52,0,.12,2.81,.09,MENU 1,.37,3.41,1.73,0,1.04,11.1,.36,Bread/Crax
38.7,.04,411.8,40.68,Cornbread,0,0,1.27,10.08,.93,.02,.13,259.86,1.92,71,.1,.06,9.3,0,.6,9.02,.13,34.22,.01,1.45,MRE32,161.88,10.86,.17,62.27,0,.07,1.8,.16,MENU 1,.18,3.51,1.09,.03,.71,0,.26,Bread/Crax
4.41,.16,607.05,160.77,"Cheese Spread>Cheddar with Jalapeno Peppers and Vitamin D",0,0,.09,16.61,1.24,.79,.01,160.51,8.48,42.75,.42,.01,6.37,0,.1,45,.67,4.07,0,.37,MRE32,268.28,6.54,.25,29.6,.62,.01,.04,.26,MENU 1,.12,5.22,.74,.15,.22,3101.85,.89,Spread
1.13,0,.6,2.97,"Red Pepper>Ground",0,,.16,.35,.1,.04,0,6.36,,2,,,.18,,0,0,.01,2.12,.03,,MRE32,5.87,3.04,0,40.28, ,.01,.17,.01,MENU 1,.02,.24,,0,1.59,,.05,Condiment
